Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.634929	HARQ FD Txed	63	4	0	1	26	0	11	2
0.635071	DL DCI Rxed	63	5	0	1	26	0	15	2
0.635929	HARQ FD Txed	63	5	0	1	26	0	13	2
0.636071	DL DCI Rxed	63	6	0	1	26	0	14	2
0.636929	HARQ FD Txed	63	6	0	1	26	0	12	2
0.637071	DL DCI Rxed	63	7	0	1	26	0	11	2
0.637929	HARQ FD Txed	63	7	0	1	26	0	15	2
0.638071	DL DCI Rxed	63	8	0	1	26	0	13	2
0.638929	HARQ FD Txed	63	8	0	1	26	0	14	2
0.639071	DL DCI Rxed	63	9	0	1	26	0	12	2
0.639929	HARQ FD Txed	63	9	0	1	26	0	11	2
0.640071	DL DCI Rxed	64	0	0	1	26	0	15	2
0.640929	HARQ FD Txed	64	0	0	1	26	0	13	2
0.641071	DL DCI Rxed	64	1	0	1	26	0	14	2
0.641929	HARQ FD Txed	64	1	0	1	26	0	12	2
0.642071	DL DCI Rxed	64	2	0	1	26	0	11	2
0.642929	HARQ FD Txed	64	2	0	1	26	0	15	2
0.643071	DL DCI Rxed	64	3	0	1	26	0	13	2
0.643929	HARQ FD Txed	64	3	0	1	26	0	14	2
0.644071	DL DCI Rxed	64	4	0	1	26	0	12	2
0.644929	HARQ FD Txed	64	4	0	1	26	0	11	2
0.645071	DL DCI Rxed	64	5	0	1	26	0	15	2
0.645929	HARQ FD Txed	64	5	0	1	26	0	13	2
0.646071	DL DCI Rxed	64	6	0	1	26	0	14	2
0.646929	HARQ FD Txed	64	6	0	1	26	0	12	2
0.647071	DL DCI Rxed	64	7	0	1	26	0	11	2
0.647929	HARQ FD Txed	64	7	0	1	26	0	15	2
0.648071	DL DCI Rxed	64	8	0	1	26	0	13	2
0.648929	HARQ FD Txed	64	8	0	1	26	0	14	2
0.649071	DL DCI Rxed	64	9	0	1	26	0	10	2
0.649929	HARQ FD Txed	64	9	0	1	26	0	11	2
0.650071	DL DCI Rxed	65	0	0	1	26	0	12	2
0.650929	HARQ FD Txed	65	0	0	1	26	0	13	2
0.651071	DL DCI Rxed	65	1	0	1	26	0	14	2
0.652071	DL DCI Rxed	65	2	0	1	26	0	11	2
0.652929	HARQ FD Txed	65	2	0	1	26	0	12	2
0.653071	DL DCI Rxed	65	3	0	1	26	0	13	2
0.653929	HARQ FD Txed	65	3	0	1	26	0	14	2
0.654929	HARQ FD Txed	65	4	0	1	26	0	11	2
0.655929	HARQ FD Txed	65	5	0	1	26	0	13	2
0.656071	DL DCI Rxed	65	6	0	1	26	0	12	2
0.657071	DL DCI Rxed	65	7	0	1	26	0	11	2
0.658929	HARQ FD Txed	65	8	0	1	26	0	12	2
0.659071	DL DCI Rxed	65	9	0	1	26	0	13	2
0.659929	HARQ FD Txed	65	9	0	1	26	0	11	2
0.661071	DL DCI Rxed	66	1	0	1	26	0	12	2
0.661929	HARQ FD Txed	66	1	0	1	26	0	13	2
0.662071	DL DCI Rxed	66	2	0	1	26	0	11	2
0.663929	HARQ FD Txed	66	3	0	1	26	0	12	2
0.664929	HARQ FD Txed	66	4	0	1	26	0	11	2
1.21107	DL DCI Rxed	121	1	0	1	7	0	15	2
1.21393	HARQ FD Txed	121	3	0	1	7	0	15	2
1.22607	DL DCI Rxed	122	6	0	1	10	0	15	2
1.22893	HARQ FD Txed	122	8	0	1	10	0	15	2
1.34307	DL DCI Rxed	134	3	0	1	7	0	15	2
1.34593	HARQ FD Txed	134	5	0	1	7	0	15	2
1.34807	DL DCI Rxed	134	8	0	1	7	0	15	2
1.35093	HARQ FD Txed	135	0	0	1	7	0	15	2
1.41707	DL DCI Rxed	141	7	0	1	27	0	15	2
1.41993	HARQ FD Txed	141	9	0	1	27	0	15	2
1.42207	DL DCI Rxed	142	2	0	1	27	0	15	2
1.42493	HARQ FD Txed	142	4	0	1	27	0	15	2
1.62707	DL DCI Rxed	162	7	0	1	26	0	15	2
1.62993	HARQ FD Txed	162	9	0	1	26	0	15	2
2.34307	DL DCI Rxed	234	3	0	1	7	0	15	2
2.34593	HARQ FD Txed	234	5	0	1	7	0	15	2
2.34807	DL DCI Rxed	234	8	0	1	7	0	15	2
2.35093	HARQ FD Txed	235	0	0	1	7	0	15	2
3.11307	DL DCI Rxed	311	3	0	1	21	0	15	2
3.11407	DL DCI Rxed	311	4	0	1	5	0	15	2
3.11507	DL DCI Rxed	311	5	0	1	3	0	15	2
3.11507	DL DCI Rxed	311	5	0	1	12	0	15	2
3.11507	DL DCI Rxed	311	5	0	1	23	0	15	2
3.11593	HARQ FD Txed	311	5	0	1	21	0	15	2
3.11607	DL DCI Rxed	311	6	0	1	8	0	15	2
3.11607	DL DCI Rxed	311	6	0	1	24	0	15	2
3.11693	HARQ FD Txed	311	6	0	1	5	0	15	2
3.11707	DL DCI Rxed	311	7	0	1	1	0	15	2
3.11707	DL DCI Rxed	311	7	0	1	9	0	15	2
3.11707	DL DCI Rxed	311	7	0	1	11	0	15	2
3.11793	HARQ FD Txed	311	7	0	1	3	0	15	2
3.11793	HARQ FD Txed	311	7	0	1	12	0	15	2
3.11793	HARQ FD Txed	311	7	0	1	23	0	15	2
3.11807	DL DCI Rxed	311	8	0	1	22	0	15	2
3.11893	HARQ FD Txed	311	8	0	1	8	0	15	2
3.11893	HARQ FD Txed	311	8	0	1	24	0	15	2
3.11907	DL DCI Rxed	311	9	0	1	6	0	15	2
3.11993	HARQ FD Txed	311	9	0	1	1	0	15	2
3.11993	HARQ FD Txed	311	9	0	1	9	0	15	2
3.11993	HARQ FD Txed	311	9	0	1	11	0	15	2
3.12093	HARQ FD Txed	312	0	0	1	22	0	15	2
3.12107	DL DCI Rxed	312	1	0	1	2	0	15	2
3.12107	DL DCI Rxed	312	1	0	1	25	0	15	2
3.12193	HARQ FD Txed	312	1	0	1	6	0	15	2
3.12207	DL DCI Rxed	312	2	0	1	4	0	15	2
3.12207	DL DCI Rxed	312	2	0	1	28	0	15	2
3.12393	HARQ FD Txed	312	3	0	1	2	0	15	2
3.12393	HARQ FD Txed	312	3	0	1	25	0	15	2
